"MAKE_ID","GENERIC_NAME"
"51203","Jonway"
"51222","GG"
"51223","Goes"
"51224","Jack Fox"
"51241","Luxxon"
"51261","Victory"
"51281","Genata"
"51441","Nitro Motors"
"51537","Xingyue"
"51553","Panther Westwinds"
"16411","CityEL"
"16412","Qoros"
"51526","Megelli"
"51527","Beeline"
"51528","Brammo"
"51530","Junak"
"51531","Zipp"
"51532","KSR MOTO"
"51533","Zero"
"51534","Hamann"
"51543","FISKER"
"51547","RollerFoxx"
"51549","Online"
"51550","Headbanger"
"51551","Talbot"
"51554","MP Lafer"
"16397","Daimler"
"16398","Reliant"
"16399","Melex"
"16400","Bedford"
"16401","Changhe"
"16402","Iso Rivolta"
"16403","GEM"
"16404","Tasso"
"16405","Savel"
"16406","CMC"
"51524","Nova Motors"
"51538","SpeedArt"
"51539","9ff"
"51540","GEMBALLA"
"51542","Gac Gonow"
"51545","Amphicar"
"51548","Donghai"
"51557","Tazzari EV"
"51555","Mash"
"51556","BORILE"
"16407","Casalini"
"16408","Zastava"
"16409","Grecav"
"16410","Martin Motors"
"51600","Tante Paula"
"51601","Terrot"
"51602","THA"
"51603","Thumpstar"
"51604","Tomaszo"
"51605","Tornax"
"51606","Toth-Twa"
"51607","Touratech"
"51609","Ultra Motor"
"51610","UT"
"51611","Vahrenkamp"
"51613","Velocette"
"51614","Vertemati"
"51615","Villa"
"51616","Vincent"
"51617","Volta"
"51618","VR"
"51619","Wakan"
"51620","Wanderer"
"51621","Wanjin"
"51622","Watsonian/Squire"
"51623","Wellbrock"
"51624","Wild Eagle"
"51625","WRM"
"51626","W-Tec"
"51627","Wüdo"
"51628","Xispa"
"51629","XPA"
"51630","YCF"
"51631","Yiben"
"51632","Yukon-Atv"
"51633","Zhejiang"
"51634","Zhongneng"
"51635","Zhongshan"
"51636","Znen"
"51728","PIT Racing"
"51729","Polini"
"51730","Quadix"
"51731","Quantya"
"51732","Rabeneick"
"51733","Rechenberg"
"51734","Rickman"
"51735","Ride"
"51736","Rixe"
"51737","RMW"
"51738","Rudge"
"51739","Rumi"
"51740","Sanglas"
"51741","Saroléa"
"51742","Saxon"
"51743","Scarabeo"
"51744","Schüttoff"
"51745","Scorpa"
"51746","Scott"
"51747","Stock"
"51748","Sunbeam"
"51749","SWM"
"51525","Kumpan Electric"
"51529","Turbho"
"51535","TECHART"
"51536","Ruf"
"51541","Quadro"
"51544","Herkules"
"51552","Dutton"
"51637","Access"
"51638","Adiva"
"51639","Aermacchi"
"51640","AJP"
"51641","AJS"
"51642","AMC Est 1902"
"51643","Ardie"
"51644","Ariel"
"51645","Atala"
"51646","ATK"
"51647","Bajaj"
"51648","BFG"
"51649","Britten"
"51650","Brough Superior"
"51651","Bücker"
"51652","Bull"
"51653","Bultaco"
"51654","Buyang"
"51655","Calthorpe"
"51656","Cannondale"
"51657","CCS"
"51658","Chinabike"
"51659","Christini"
"51660","Cleveland"
"51661","Cobra"
"51662","Condor"
"51663","Confederate"
"51664","Cotton"
"51665","Csepel"
"51666","Di Blasi"
"51667","Dorton"
"51668","Douglas"
"51669","D-RAD"
"51670","Dürkopp"
"51671","EBR"
"51672","Egli"
"51673","EH Line"
"51674","Electrack"
"51675","Elmoto"
"51676","Energica"
"51677","E-Sprit"
"51678","Excalibur"
"51679","Express"
"51680","FN"
"51681","Frischauf"
"51682","Ghezzi-Brian"
"51683","Gnome et Rhône"
"51684","Goggo"
"51685","Grace"
"51686","Gritzner-Kayser"
"51687","GUF"
"51688","Hanway"
"51689","Hecker"
"51690","Henderson"
"51691","Herk"
"51692","Highland"
"51693","HMW"
"51694","Hoffmann"
"51695","HRD"
"51696","Hummel"
"51697","Huoniao"
"51698","IMG"
"51699","Imme"
"51700","Imperia"
"51701","Innoscooter"
"51702","IO"
"51703","Jianshe"
"51704","Jinling"
"51705","Jmstar"
"51706","Jotagas"
"51707","KVN"
"51708","Lambretta"
"51709","Leike"
"51710","Lingben"
"51711","Lohner"
"51712","Longjia"
"51713","Mabeco"
"51714","Mars"
"51715","Matchless"
"51716","Minimoto"
"51717","Mondial"
"51718","Moto Parilla"
"51719","Motom"
"51720","Motosacoche"
"51721","Münch"
"51722","NCR"
"51723","New Hudson"
"51724","New Imperial"
"51725","Nimbus"
"51726","Oset"
"51727","Ossa"
